ID No.,Name_en,Region,Country,Location,Date_inscribed,Danger,Endangered Year,Date_end,Category,area_hectares,iso_code,udnp_code,short_description_en
565,Kasbah of Algiers,Arab States,Algeria,"Lat: 36.78333, Lon: 3.06028",1992,0,,,Cultural,54.7,dz,dza," The Kasbah is a unique kind of medina, or Islamic city. It stands in one of the finest coastal sites on the Mediterranean, overlooking the islands where a Carthaginian trading-post was established in the 4th century BC. There are the remains of the citadel, old mosques and Ottoman-style palaces as well as the remains of a traditional urban structure associated with a deep-rooted sense of community. "
1160,Madriu-Perafita-Claror Valley,Europe and North America,Andorra,"Lat: 42.49472222, Lon: 1.595555556",2004,0,,,Cultural,4247,ad,and," The cultural landscape of Madriu-Perafita-Claror Valley offers a microcosmic perspective of the way people have harvested the resources of the high Pyrenees over millennia. Its dramatic glacial landscapes of craggy cliffs and glaciers, with high open pastures and steep wooded valleys, covers an area of 4,247 ha, 9% of the total area of the principality. It reflects past changes in climate, economic fortune and social systems, as well as the persistence of pastoralism and a strong mountain culture, notably the survival of a communal land-ownership system dating back to the 13th century. The site features houses, notably summer settlements, terraced fields, stone tracks and evidence of iron smelting. "
1511,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",Africa,Angola,"Lat: -6.268888889, Lon: 14.24972222",2017,0,,,Cultural,89.29,ao,ang," The town of Mbanza Kongo, located on a plateau at an altitude of 570 m, was the political and spiritual capital of the Kingdom of Kongo, one of the largest constituted states in Southern Africa from the 14th to 19th centuries. The historical area grew around the royal residence, the customary court and the holy tree, as well as the royal funeral places. When the Portuguese arrived in the 15th century they added stone buildings constructed in accordance with European methods to the existing urban conurbation built in local materials. Mbanza Kongo illustrates, more than anywhere in sub-Saharan Africa, the profound changes caused by the introduction of Christianity and the arrival of the Portuguese into Central Africa. "
1499,Antigua Naval Dockyard and Related Archaeological Sites,Latin America and the Caribbean,Antigua and Barbuda,"Lat: 17.00694444, Lon: -61.76166667",2016,0,,,Cultural,255,ag,atg," The site consists of a group of Georgian-style naval buildings and structures, set within a walled enclosure. The natural environment of this side of the island of Antigua, with its deep, narrow bays surrounded by highlands, offered shelter from hurricanes and was ideal for repairing ships. The construction of the Dockyard by the British navy would not have been possible without the labour of generations of enslaved Africans since the end of the 18th century. Its aim was to protect the interests of sugar cane planters at a time when European powers were competing for control of the Eastern Caribbean. "
145,Los Glaciares National Park,Latin America and the Caribbean,Argentina,"Lat: -50.0, Lon: -73.24944",1981,0,,,Natural,726927,ar,arg," The Los Glaciares National Park is an area of exceptional natural beauty, with rugged, towering mountains and numerous glacial lakes, including Lake Argentino, which is 160 km long. At its farthest end, three glaciers meet to dump their effluvia into the milky grey glacial water, launching massive igloo icebergs into the lake with thunderous splashes. "
303,Iguazu National Park,Latin America and the Caribbean,Argentina,"Lat: -25.51805556, Lon: -54.13333333",1984,0,,,Natural,55000,ar,arg," The semicircular waterfall at the heart of this site is some 80 m high and 2,700 m in diameter and is situated on a basaltic line spanning the border between Argentina and Brazil. Made up of many cascades producing vast sprays of water, it is one of the most spectacular waterfalls in the world. The surrounding subtropical rainforest has over 2,000 species of vascular plants and is home to the typical wildlife of the region: tapirs, giant anteaters, howler monkeys, ocelots, jaguars and caymans. "
936,"Cueva de las Manos, Río Pinturas",Latin America and the Caribbean,Argentina,"Lat: -47.15, Lon: -70.66666667",1999,0,,,Cultural,600,ar,arg," The Cueva de las Manos, R&iacute;o Pinturas, contains an exceptional assemblage of cave art, executed between 13,000 and 9,500 years ago. It takes its name (Cave of the Hands) from the stencilled outlines of human hands in the cave, but there are also many depictions of animals, such as guanacos (<em>Lama guanicoe</em> ), still commonly found in the region, as well as hunting scenes. The people responsible for the paintings may have been the ancestors of the historic hunter-gatherer communities of Patagonia found by European settlers in the 19th century. "
937,Península Valdés,Latin America and the Caribbean,Argentina,"Lat: -42.5, Lon: -64.0",1999,0,,,Natural,360000,ar,arg, Península Valdés in Patagonia is a site of global significance for the conservation of marine mammals. It is home to an important breeding population of the endangered southern right whale as well as important breeding populations of southern elephant seals and southern sea lions. The orcas in this area have developed a unique hunting strategy to adapt to local coastal conditions. 
966,Ischigualasto / Talampaya Natural Parks,Latin America and the Caribbean,Argentina,"Lat: -30.0, Lon: -68.0",2000,0,,,Natural,275369,ar,arg," These two contiguous parks, extending over 275,300 ha in the desert region on the western border of the Sierra Pampeanas of central Argentina, contain the most complete continental fossil record known from the Triassic Period (245-208 million years ago). Six geological formations in the parks contain fossils of a wide range of ancestors of mammals, dinosaurs and plants revealing the evolution of vertebrates and the nature of palaeo-environments in the Triassic Period. "
995,Jesuit Block and Estancias of Córdoba,Latin America and the Caribbean,Argentina,"Lat: -31.42056, Lon: -64.19111",2000,0,,,Cultural,38.12,ar,arg," The Jesuit Block in C&oacute;rdoba, heart of the former Jesuit Province of Paraguay, contains the core buildings of the Jesuit system: the university, the church and residence of the Society of Jesus, and the college. Along with the five estancias, or farming estates, they contain religious and secular buildings, which illustrate the unique religious, social, and economic experiment carried out in the world for a period of over 150 years in the 17th and 18th centuries. "
1116,Quebrada de Humahuaca,Latin America and the Caribbean,Argentina,"Lat: -23.19986111, Lon: -65.34886111",2003,0,,,Cultural,172116.4375,ar,arg," Quebrada de Humahuaca follows the line of a major cultural route, the Camino Inca, along the spectacular valley of the Rio Grande, from its source in the cold high desert plateau of the High Andean lands to its confluence with the Rio Leone some 150 km to the south. The valley shows substantial evidence of its use as a major trade route over the past 10,000 years. It features visible traces of prehistoric hunter-gatherer communities, of the Inca Empire (15th to 16th centuries) and of the fight for independence in the 19th and 20th centuries. "
1526,Los Alerces National Park,Latin America and the Caribbean,Argentina,"Lat: -42.8528, Lon: -71.8728",2017,0,,,Natural,188379,ar,arg," The Los Alerces National Park is located in the Andes of northern Patagonia and its western boundary  coincides with the Chilean border. Successive glaciations have moulded the landscape in the region creating spectacular features such as moraines, glacial cirques and clear-water lakes. The vegetation is dominated by dense temperate forests, which give way to alpine meadows higher up under the rocky Andean peaks. A highly distinctive and emblematic feature is its alerce forest; the globally threatened Alerce tree is the second longest living tree species in the world (&gt;3,600 years). The Alerce forest in the property is in an excellent state of conservation. The property is vital for the protection of some of the last portions of continuous Patagonian Forest in an almost pristine state and is the habitat for a number of endemic and threatened species of flora and fauna. "
777,Monasteries of Haghpat and Sanahin,Europe and North America,Armenia,"Lat: 41.095, Lon: 44.71028",1996,0,,,Cultural,2.65,am,arm," These two Byzantine monasteries in the Tumanian region from the period of prosperity during the Kiurikian dynasty (10th to 13th century) were important centres of learning. Sanahin was renown for its school of illuminators and calligraphers. The two monastic complexes represent the highest flowering of Armenian religious architecture, whose unique style developed from a blending of elements of Byzantine ecclesiastical architecture and the traditional vernacular architecture of the Caucasian region. "
960,Monastery of Geghard and the Upper Azat Valley,Europe and North America,Armenia,"Lat: 40.15889, Lon: 44.79667",2000,0,,,Cultural,2.7,am,arm," The monastery of Geghard contains a number of churches and tombs, most of them cut into the rock, which illustrate the very peak of Armenian medieval architecture. The complex of medieval buildings is set into a landscape of great natural beauty, surrounded by towering cliffs at the entrance to the Azat Valley. "
1011,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,Europe and North America,Armenia,"Lat: 40.15931, Lon: 44.29514",2000,0,,,Cultural,74.3,am,arm," The cathedral and churches of Echmiatsin and the archaeological remains at Zvartnots graphically illustrate the evolution and development of the Armenian central-domed cross-hall type of church, which exerted a profound influence on architectural and artistic development in the region. "
147,Kakadu National Park,Asia and the Pacific,Australia,"Lat: -12.83333333, Lon: 132.8333333",1981,0,,,Mixed,1980994.92,au,aus," This unique archaeological and ethnological reserve, located in the Northern Territory, has been inhabited continuously for more than 40,000 years. The cave paintings, rock carvings and archaeological sites record the skills and way of life of the region&rsquo;s inhabitants, from the hunter-gatherers of prehistoric times to the Aboriginal people still living there. It is a unique example of a complex of ecosystems, including tidal flats, floodplains, lowlands and plateaux, and provides a habitat for a wide range of rare or endemic species of plants and animals. "
154,Great Barrier Reef,Asia and the Pacific,Australia,"Lat: -18.28611111, Lon: 147.7",1981,0,,,Natural,34870000,au,aus," The Great Barrier Reef is a site of remarkable variety and beauty on the north-east coast of Australia. It contains the world’s largest collection of coral reefs, with 400 types of coral, 1,500 species of fish and 4,000 types of mollusc. It also holds great scientific interest as the habitat of species such as the dugong (‘sea cow’) and the large green turtle, which are threatened with extinction. "
166,Sydney Opera House,Asia and the Pacific,Australia,"Lat: -33.85666667, Lon: 151.2152778",2007,0,,,Cultural,5.8,au,aus," Inaugurated in 1973, the Sydney Opera House is a great architectural work of the 20th century that brings together multiple strands of creativity and innovation in both architectural form and structural design. A great urban sculpture set in a remarkable waterscape, at the tip of a peninsula projecting into Sydney Harbour, the building has had an enduring influence on architecture. The Sydney Opera House comprises three groups of interlocking vaulted &lsquo;shells&rsquo; which roof two main performance halls and a restaurant. These shell-structures are set upon a vast platform and are surrounded by terrace areas that function as pedestrian concourses. In 1957, when the project of the Sydney Opera House was awarded by an international jury to Danish architect J&oslash;rn Utzon, it marked a radically new approach to construction. "
167,Willandra Lakes Region,Asia and the Pacific,Australia,"Lat: -34.0, Lon: 143.0",1981,0,,,Mixed,240000,au,aus," The fossil remains of a series of lakes and sand formations that date from the Pleistocene can be found in this region, together with archaeological evidence of human occupation dating from 45–60,000 years ago. It is a unique landmark in the study of human evolution on the Australian continent. Several well-preserved fossils of giant marsupials have also been found here. "
181,Tasmanian Wilderness,Asia and the Pacific,Australia,"Lat: -41.58333333, Lon: 145.4166667",1982,0,,,Mixed,1584233,au,aus," In a region that has been subjected to severe glaciation, these parks and reserves, with their steep gorges, covering an area of over 1 million ha, constitute one of the last expanses of temperate rainforest in the world. Remains found in limestone caves attest to the human occupation of the area for more than 20,000 years. "
186,Lord Howe Island Group,Asia and the Pacific,Australia,"Lat: -31.56555556, Lon: 159.0883333",1982,0,,,Natural,146300,au,aus," A remarkable example of isolated oceanic islands, born of volcanic activity more than 2,000 m under the sea, these islands boast a spectacular topography and are home to numerous endemic species, especially birds. "
368,Gondwana Rainforests of Australia,Asia and the Pacific,Australia,"Lat: -28.25, Lon: 150.05",1986,0,,,Natural,370000,au,aus," This site, comprising several protected areas, is situated predominantly along the Great Escarpment on Australia&rsquo;s east coast. The outstanding geological features displayed around shield volcanic craters and the high number of rare and threatened rainforest species are of international significance for science and conservation. "
447,Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park,Asia and the Pacific,Australia,"Lat: -25.33333333, Lon: 131.0",1987,0,,,Mixed,132566,au,aus," This park, formerly called Uluru (Ayers Rock – Mount Olga) National Park, features spectacular geological formations that dominate the vast red sandy plain of central Australia. Uluru, an immense monolith, and Kata Tjuta, the rock domes located west of Uluru, form part of the traditional belief system of one of the oldest human societies in the world. The traditional owners of Uluru-Kata Tjuta are the Anangu Aboriginal people. "
486,Wet Tropics of Queensland,Asia and the Pacific,Australia,"Lat: -15.65, Lon: 144.9666667",1988,0,,,Natural,893453,au,aus," This area, which stretches along the north-east coast of Australia for some 450 km, is made up largely of tropical rainforests. This biotope offers a particularly extensive and varied array of plants, as well as marsupials and singing birds, along with other rare and endangered animals and plant species. "
577,Heard and McDonald Islands,Asia and the Pacific,Australia,"Lat: -53.1, Lon: 73.5",1997,0,,,Natural,658903,au,aus," Heard Island and McDonald Islands are located in the Southern Ocean, approximately 1,700 km from the Antarctic continent and 4,100 km south-west of Perth. As the only volcanically active subantarctic islands they &lsquo;open a window into the earth&rsquo;, thus providing the opportunity to observe ongoing geomorphic processes and glacial dynamics. The distinctive conservation value of Heard and McDonald &ndash; one of the world&rsquo;s rare pristine island ecosystems &ndash; lies in the complete absence of alien plants and animals, as well as human impact. "
578,"Shark Bay, Western Australia",Asia and the Pacific,Australia,"Lat: -25.48611111, Lon: 113.4361111",1991,0,,,Natural,2200902,au,aus," At the most westerly point of the Australian continent, Shark Bay, with its islands and the land surrounding it, has three exceptional natural features: its vast sea-grass beds, which are the largest (4,800 km2) and richest in the world; its dugong (&lsquo;sea cow&rsquo;) population; and its stromatolites (colonies of algae which form hard, dome-shaped deposits and are among the oldest forms of life on earth). Shark Bay is also home to five species of endangered mammals. "
629,Macquarie Island,Asia and the Pacific,Australia,"Lat: -54.59472222, Lon: 158.8955556",1997,0,,,Natural,540000,au,aus," Macquarie Island (34 km long x 5 km wide) is an oceanic island in the Southern Ocean, lying 1,500 km south-east of Tasmania and approximately halfway between Australia and the Antarctic continent. The island is the exposed crest of the undersea Macquarie Ridge, raised to its present position where the Indo-Australian tectonic plate meets the Pacific plate. It is a site of major geoconservation significance, being the only place on earth where rocks from the earth’s mantle (6 km below the ocean floor) are being actively exposed above sea-level. These unique exposures include excellent examples of pillow basalts and other extrusive rocks. "
630,Fraser Island,Asia and the Pacific,Australia,"Lat: -25.21666667, Lon: 153.1333333",1992,0,,,Natural,184000,au,aus," Fraser Island lies just off the east coast of Australia. At 122 km long, it is the largest sand island in the world. Majestic remnants of tall rainforest growing on sand and half the world’s perched freshwater dune lakes are found inland from the beach. The combination of shifting sand-dunes, tropical rainforests and lakes makes it an exceptional site. "
698,Australian Fossil Mammal Sites (Riversleigh / Naracoorte),Asia and the Pacific,Australia,"Lat: -19.08333333, Lon: 138.7166667",1994,0,,,Natural,10326,au,aus," Riversleigh and Naracoorte, situated in the north and south respectively of eastern Australia, are among the world’s 10 greatest fossil sites. They are a superb illustration of the key stages of evolution of Australia’s unique fauna. "
917,Greater Blue Mountains Area,Asia and the Pacific,Australia,"Lat: -33.7, Lon: 150.0",2000,0,,,Natural,1032649,au,aus," The Greater Blue Mountains Area consists of 1.03 million ha of sandstone plateaux, escarpments and gorges dominated by temperate eucalypt forest. The site, comprised of eight protected areas, is noted for its representation of the evolutionary adaptation and diversification of the eucalypts in post-Gondwana isolation on the Australian continent. Ninety-one eucalypt taxa occur within the Greater Blue Mountains Area which is also outstanding for its exceptional expression of the structural and ecological diversity of the eucalypts associated with its wide range of habitats. The site provides significant representation of Australia's biodiversity with ten percent of the vascular flora as well as significant numbers of rare or threatened species, including endemic and evolutionary relict species, such as the Wollemi pine, which have persisted in highly-restricted microsites. "
1094,Purnululu National Park,Asia and the Pacific,Australia,"Lat: -17.5, Lon: 128.5",2003,0,,,Natural,239723,au,aus," The 239,723 ha Purnululu National Park is located in the State of Western Australia. It contains the deeply dissected Bungle Bungle Range composed of Devonian-age quartz sandstone eroded over a period of 20 million years into a series of beehive-shaped towers or cones, whose steeply sloping surfaces are distinctly marked by regular horizontal bands of dark-grey cyanobacterial crust (single-celled photosynthetic organisms). These outstanding examples of cone karst owe their existence and uniqueness to several interacting geological, biological, erosional and climatic phenomena. "
1131,Royal Exhibition Building and Carlton Gardens,Asia and the Pacific,Australia,"Lat: -37.80611111, Lon: 144.9702778",2004,0,,,Cultural,26,au,aus," The Royal Exhibition Building and its surrounding Carlton Gardens were designed for the great international exhibitions of 1880 and 1888 in Melbourne. The building and grounds were designed by Joseph Reed. The building is constructed of brick and timber, steel and slate. It combines elements from the Byzantine, Romanesque, Lombardic and Italian Renaissance styles. The property is typical of the international exhibition movement which saw over 50 exhibitions staged between 1851 and 1915 in venues including Paris, New York, Vienna, Calcutta, Kingston (Jamaica) and Santiago (Chile). All shared a common theme and aims: to chart material and moral progress through displays of industry from all nations. "
1306,Australian Convict Sites,Asia and the Pacific,Australia,"Lat: -33.37833333, Lon: 150.9944444",2010,0,,,Cultural,1502.51,au,aus," The property includes a selection of eleven penal sites, among the thousands established by the British Empire on Australian soil in the 18<sup>th</sup> and 19<sup>th</sup> centuries. The sites are spread across Australia, from Fremantle in Western Australia to Kingston and Arthur's Vale on Norfolk Island in the east; and from areas around Sydney in New South Wales in the north, to sites located in Tasmania in the south. Around 166,000 men, women and children were sent to Australia over 80 years between 1787 and 1868, condemned by British justice to transportation to the convict colonies. Each of the sites had a specific purpose, in terms both of punitive imprisonment and of rehabilitation through forced labour to help build the colony. The Australian Convict Sites presents the best surviving examples of large-scale convict transportation and the colonial expansion of European powers through the presence and labour of convicts. "
1369,Ningaloo Coast,Asia and the Pacific,Australia,"Lat: -22.5625, Lon: 113.8102778",2011,0,,,Natural,705015,au,aus," The 604,500 hectare marine and terrestrial property of Ningaloo Coast, on the remote western coast of Australia, includes one of the longest near-shore reefs in the world. On land the site features an extensive karst system and network of underground caves and water courses. Annual gatherings of whale sharks occur at Ningaloo Coast, which is home to numerous marine species, among them a wealth of sea turtles. The terrestrial part of the site features subterranean water bodies with a substantial network of caves, conduits, and groundwater streams. They support a variety of rare species that contribute to the exceptional biodiversity of the marine and terrestrial site "
1577,Budj Bim Cultural Landscape,Asia and the Pacific,Australia,"Lat: -38.08111111, Lon: 141.8852778",2019,0,,,Cultural,9935,au,aus,"Located within the Country of the Gunditjmara, an Aboriginal nation in the southwest of Australia, the property includes the Budj Bim Volcano and Tae Rak (Lake Condah), as well as the Kurtonitj component, characterized by wetland swamps, and Tyrendarra in the south, an area of rocky ridges and large marshes. The Budj Bim lava flows, which connect these three components, have enabled the Gunditjmara to develop one of the largest and oldest aquaculture networks in the world. Composed of channels, dams and weirs, they are used to contain floodwaters and create basins to trap, store and harvest the kooyang eel (Anguilla australis), which has provided the population with an economic and social base for six millennia."
784,Historic Centre of the City of Salzburg,Europe and North America,Austria,"Lat: 47.80055556, Lon: 13.04333333",1996,0,,,Cultural,236,at,aut," Salzburg has managed to preserve an extraordinarily rich urban fabric, developed over the period from the Middle Ages to the 19th century when it was a city-state ruled by a prince-archbishop. Its Flamboyant Gothic art attracted many craftsmen and artists before the city became even better known through the work of the Italian architects Vincenzo Scamozzi and Santini Solari, to whom the centre of Salzburg owes much of its Baroque appearance. This meeting-point of northern and southern Europe perhaps sparked the genius of Salzburg&rsquo;s most famous son, Wolfgang Amadeus Mozart, whose name has been associated with the city ever since. "
785,Semmering Railway,Europe and North America,Austria,"Lat: 47.64877778, Lon: 15.82797222",1998,0,,,Cultural,156.18,at,aut," The Semmering Railway, built over 41 km of high mountains between 1848 and 1854, is one of the greatest feats of civil engineering from this pioneering phase of railway building. The high standard of the tunnels, viaducts and other works has ensured the continuous use of the line up to the present day. It runs through a spectacular mountain landscape and there are many fine buildings designed for leisure activities along the way, built when the area was opened up due to the advent of the railway. "
786,Palace and Gardens of Schönbrunn,Europe and North America,Austria,"Lat: 48.18666667, Lon: 16.31333333",1996,0,,,Cultural,186.28,at,aut," From the 18th century to 1918, Sch&ouml;nbrunn was the residence of the Habsburg emperors. It was designed by the architects Johann Bernhard Fischer von Erlach and Nicolaus Pacassi and is full of outstanding examples of decorative art. Together with its gardens, the site of the world&rsquo;s first zoo in 1752, it is a remarkable Baroque ensemble and a perfect example of <em>Gesamtkunstwerk</em> 
 . "
806,Hallstatt-Dachstein / Salzkammergut Cultural Landscape,Europe and North America,Austria,"Lat: 47.55944444, Lon: 13.64638889",1997,0,,,Cultural,28446.2,at,aut," Human activity in the magnificent natural landscape of the Salzkammergut began in prehistoric times, with the salt deposits being exploited as early as the 2nd millennium BC. This resource formed the basis of the area&rsquo;s prosperity up to the middle of the 20th century, a prosperity that is reflected in the fine architecture of the town of Hallstatt. "
931,City of Graz – Historic Centre and Schloss Eggenberg,Europe and North America,Austria,"Lat: 47.07416667, Lon: 15.39166667",1999,0,,,Cultural,,at,aut," The City of Graz &ndash; Historic Centre and Schloss Eggenberg bear witness to an exemplary model of the living heritage of a central European urban complex influenced by the secular presence of the Habsburgs and the cultural and artistic role played by the main aristocratic families. They are a harmonious blend of the architectural styles and artistic movements that have succeeded each other from the Middle Ages until the 18th century, from the many neighbouring regions of Central and Mediterranean Europe. They embody a diversified and highly comprehensive ensemble of architectural, decorative and landscape examples of these interchanges of influence. "
970,Wachau Cultural Landscape,Europe and North America,Austria,"Lat: 48.36444444, Lon: 15.43416667",2000,0,,,Cultural,18387,at,aut," The Wachau is a stretch of the Danube Valley between Melk and Krems, a landscape of high visual quality. It preserves in an intact and visible form many traces - in terms of architecture, (monasteries, castles, ruins), urban design, (towns and villages), and agricultural use, principally for the cultivation of vines - of its evolution since prehistoric times. "
1033,Historic Centre of Vienna,Europe and North America,Austria,"Lat: 48.21666667, Lon: 16.38333333",2001,1,2017,,Cultural,371,at,aut," Vienna developed from early Celtic and Roman settlements into a Medieval and Baroque city, the capital of the Austro-Hungarian Empire. It played an essential role as a leading European music centre, from the great age of Viennese Classicism through the early part of the 20th century. The historic centre of Vienna is rich in architectural ensembles, including Baroque castles and gardens, as well as the late-19th-century Ringstrasse lined with grand buildings, monuments and parks. "
958,Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,Europe and North America,Azerbaijan,"Lat: 40.36666667, Lon: 49.83333333",2000,0,,2009,Cultural,21.5,az,aze," Built on a site inhabited since the Palaeolithic period, the Walled City of Baku reveals evidence of Zoroastrian, Sasanian, Arabic, Persian, Shirvani, Ottoman, and Russian presence in cultural continuity. The Inner City (Icheri Sheher) has preserved much of its 12th-century defensive walls. The 12th-century Maiden Tower (Giz Galasy) is built over earlier structures dating from the 7th to 6th centuries BC, and the 15th-century Shirvanshahs' Palace is one of the pearls of Azerbaijan's architecture. "
1076,Gobustan Rock Art Cultural Landscape,Europe and North America,Azerbaijan,"Lat: 40.125, Lon: 49.375",2007,0,,,Cultural,537.22,az,aze," Gobustan Rock Art Cultural Landscape covers three areas of a plateau of rocky boulders rising out of the semi-desert of central Azerbaijan, with an outstanding collection of more than 6,000 rock engravings bearing testimony to 40,000 years of rock art. The site also features the remains of inhabited caves, settlements and burials, all reflecting an intensive human use by the inhabitants of the area during the wet period that followed the last Ice Age, from the Upper Paleolithic to the Middle Ages. The site, which covers an area of 537 ha, is part of the larger protected Gobustan Reservation. "
1549,Historic Centre of Sheki with the Khan’s Palace,Europe and North America,Azerbaijan,"Lat: 41.20333333, Lon: 47.1875",2019,0,,,Cultural,120.5,az,aze,"The historic city of Sheki is located at the foot of the Greater Caucasus Mountains and divided in two by the Gurjana River. While the older northern part is built on the mountain, its southern part extends into the river valley. Its historic centre, rebuilt after the destruction of an earlier town by mudflows in the 18<sup>th</sup> century, is characterized by a traditional architectural ensemble of houses with high gabled roofs. Located along important historic trade routes, the city's architecture is influenced by Safavid, Qadjar and Russian building traditions. The Khan Palace, in the northeast of the city, and a number of merchant houses, reflect the wealth generated by silkworm breeding and the trade in silk cocoons from the late 18<sup>th</sup> to the 19<sup>th</sup> centuries."
1192,Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,Arab States,Bahrain,"Lat: 26.23306, Lon: 50.52722222",2005,0,,,Cultural,70.4,bh,bhr," Qal’at al-Bahrain is a typical tell – an artificial mound created by many successive layers of human occupation. The strata of the 300 × 600 m tell testify to continuous human presence from about 2300 BC to the 16th century AD. About 25% of the site has been excavated, revealing structures of different types: residential, public, commercial, religious and military. They testify to the importance of the site, a trading port, over the centuries. On the top of the 12 m mound there is the impressive Portuguese fort, which gave the whole site its name, qal’a (fort). The site was the capital of the Dilmun, one of the most important ancient civilizations of the region. It contains the richest remains inventoried of this civilization, which was hitherto only known from written Sumerian references. "
